Question,A,B,C,D,Correct
Câu 69: Biện pháp nào giúp phòng ngừa rủi ro tranh chấp quyền sở hữu bất động sản?,Thanh toán toàn bộ tiền mua ngay khi xem nhà.,Kiểm tra thông tin ngăn chặn giao dịch tại VPĐKĐĐ/Phòng công chứng và yêu cầu văn bản đồng ý của đồng sở hữu (nếu có).,Chỉ làm việc với người bán lớn tuổi.,Yêu cầu người bán giảm giá sâu.,B
Câu 70: Việc bên mua không thanh toán đúng hạn theo thỏa thuận trong hợp đồng thuộc loại rủi ro nào?,Rủi ro quy hoạch.,Rủi ro bàn giao.,Rủi ro thanh toán.,Rủi ro pháp lý dự án.,C
Câu 71: Mạng xã hội KHÔNG thể giúp nhà môi giới bất động sản trong hoạt động nào sau đây?,Xây dựng thương hiệu cá nhân.,Đăng ký quyền sở hữu bất động sản cho khách hàng.,Tìm kiếm khách hàng tiềm năng và quảng cáo bất động sản.,"Tương tác, chăm sóc khách hàng.",B
Câu 72: Việc phân tích dữ liệu lớn (Big Data) trong Bất động sản có thể giúp nhà môi giới làm gì?,Sửa chữa các lỗi kỹ thuật của bất động sản.,Ký hợp đồng mua bán trực tuyến.,"Nhận diện xu hướng thị trường, hành vi khách hàng để tối ưu chiến lược kinh doanh.",Thiết kế nội thất cho bất động sản.,C
Câu 73: Nhà môi giới nên làm gì khi khách hàng đưa ra một mức giá đề nghị (offer) thấp hơn đáng kể so với giá chào bán?,Từ chối ngay lập tức và không làm việc với khách hàng đó nữa.,Chấp nhận ngay để nhanh chóng chốt giao dịch.,"Tiếp nhận đề nghị một cách chuyên nghiệp, trình bày lại cho bên bán và hỗ trợ quá trình thương lượng.",Tự ý nâng giá đề nghị của khách hàng lên khi báo cho bên bán.,C
Câu 74: Kỹ thuật đặt câu hỏi phễu (Funneling) được áp dụng như thế nào?,Chỉ đặt các câu hỏi đóng.,Chỉ đặt các câu hỏi mở.,"Bắt đầu bằng câu hỏi tổng quát, sau đó đi sâu vào chi tiết bằng các câu hỏi cụ thể hơn.",Đặt các câu hỏi không liên quan để đánh lạc hướng.,C
"Câu 75: Nếu một bất động sản đang được thế chấp tại ngân hàng, người bán có được quyền bán bất động sản đó không?",Không được phép bán trong mọi trường hợp.,Được phép bán nếu có sự đồng ý của ngân hàng nhận thế chấp và thực hiện thủ tục giải chấp hoặc chuyển nợ theo quy định.,Chỉ được bán nếu người mua đồng ý trả nợ thay.,Chỉ được bán sau khi đã trả hết nợ ngân hàng.,B
"Câu 76: Bộ tài liệu bán hàng"" (Sales Kit) thường bao gồm những gì?",Chỉ có hợp đồng mẫu.,Chỉ có hình ảnh BĐS.,"Tập hợp các tài liệu giới thiệu về BĐS một cách chuyên nghiệp (thông tin chi tiết, mặt bằng, hình ảnh, bảng giá, chính sách bán hàng...)",Chỉ có danh thiếp của nhà môi giới.,C
"Câu 77: Khi làm việc với khách hàng mua là nhà đầu tư ""lướt sóng"", nhà môi giới cần tập trung tư vấn vào yếu tố nào?",Thiết kế nội thất đẹp và sang trọng.,Tính thanh khoản cao và khả năng tăng giá trong ngắn hạn.,Sự yên tĩnh và không gian xanh của khu vực.,Lịch sử lâu đời và yếu tố tâm linh của BĐS.,B
Câu 78: Đâu KHÔNG phải là rủi ro pháp lý thường gặp khi mua nhà đất dự án?,Chủ đầu tư chưa hoàn thiện pháp lý đã bán hàng.,Tiến độ xây dựng bị chậm trễ so với cam kết.,Chất lượng xây dựng không đảm bảo như quảng cáo.,Người mua được cấp Sổ hồng (GCN) ngay khi ký hợp đồng mua bán.,D
"Câu 79: ""Chiến thuật cộng trong đàm phán"" dựa trên việc nêu bật yếu tố nào?","Những khiếm khuyết, lỗi của bất động sản. [TRỪ]",Tình hình thị trường đang đi xuống. [TRỪ],"Những ưu điểm, giá trị độc đáo của bất động sản, tiềm năng tăng giá. [CỘNG]",Khả năng tài chính hạn chế của người mua. [TRỪ],C
Câu 80: Vai trò của nhà môi giới KHÔNG bao gồm việc nào sau đây?,Cung cấp thông tin thị trường cho khách hàng.,Đưa ra quyết định cuối cùng thay cho khách hàng.,Hỗ trợ khách hàng trong quá trình đàm phán.,"Tư vấn về quy trình, thủ tục giao dịch.",B
"Câu 81: Việc kiểm tra ""lịch sử tâm linh "" của bất động sản thuộc nhóm thông tin nào cần thu thập?",Kinh tế - Kỹ thuật.,Pháp lý.,Lịch sử - Xã hội.,Tài chính.,C
"Câu 82: ""Chiến thuật trừ trong đàm phán"" hiệu quả nhất khi nào?",Khi bất động sản hoàn hảo không có điểm yếu.,"Khi thị trường đang rất sôi động, giá tăng mạnh.",Khi có thể chỉ ra những điểm yếu khách quan của bất động sản hoặc dẫn chứng được giá giao dịch tương đồng thấp hơn.,Khi người bán không cần bán gấp.,C
"Câu 83: Khi dẫn khách xem nhà, nếu khách hàng im lặng, ít đưa ra nhận xét, nhà môi giới nên làm gì?",Cũng im lặng và chờ đợi.,Giả định rằng khách hàng không thích và nhanh chóng chuyển sang bất động sản khác.,"Chủ động đặt câu hỏi gợi mở, khơi gợi câu chuyện về sở thích, mối quan tâm của họ để phá vỡ sự im lặng và tìm hiểu nhu cầu.",Nói liên tục về các đặc điểm của bất động sản.,C
Câu 84: Đâu là dấu hiệu cho thấy một cuộc đàm phán đang có nguy cơ đi vào bế tắc (deadlock)?,Cả hai bên đều đưa ra nhiều phương án thay thế.,Các bên không còn đưa ra nhượng bộ nào và giữ vững lập trường đối lập. [LOSE – LOSE => MG CẮT MÁU],Các bên đồng ý tạm dừng để suy nghĩ thêm.,Các bên tập trung thảo luận về các chi tiết nhỏ.,B
Câu 85: Yếu tố nào sau đây KHÔNG phải là mục tiêu chính của hoạt động marketing BĐS?,Thu hút khách hàng tiềm năng. [MARKETING],Tăng nhận diện thương hiệu cho môi giới/sàn. [MARKETING],Hoàn thiện thủ tục pháp lý cho giao dịch. [pháp lý},Thúc đẩy giao dịch thành công. [MARKETING],C
"Câu 86: Trong hợp đồng dịch vụ môi giới, điều khoản về ""thời hạn hợp đồng"" quy định điều gì?",Thời gian khách hàng phải thanh toán phí.,Thời gian nhà môi giới được phép cung cấp dịch vụ và hưởng hoa hồng theo thỏa thuận,Thời gian tối đa để bán được bất động sản.,Thời gian khách hàng được phép xem bất động sản.,B
"Câu 87: Rủi ro về ""chất lượng công trình"" thường khó phát hiện ngay và có thể thuộc loại nào?",Rủi ro quy hoạch.,Rủi ro pháp lý.,Rủi ro bàn giao.,Rủi ro tiềm ẩn.,D
"Câu 88: Khi khách hàng có nhiều lựa chọn bất động sản và tỏ ra phân vân, nhà môi giới nên làm gì?",Thúc ép khách hàng chọn đại một căn.,Đưa thêm thật nhiều lựa chọn khác nữa.,"Giúp khách hàng hệ thống hóa lại các ưu nhược điểm của từng lựa chọn dựa trên nhu cầu của họ, tập trung vào các yếu tố quan trọng nhất để hỗ trợ ra quyết định.",Bỏ mặc khách hàng tự quyết định.,C
"Câu 89: Việc kiểm tra tình trạng ""ngăn chặn giao dịch"" của bất động sản tại văn phòng đăng ký đất đai giúp phòng ngừa rủi ro nào?",Rủi ro về quy hoạch.,"Rủi ro bất động sản đang bị tranh chấp, kê biên hoặc đang thế chấp mà chưa được phép giao dịch.",Rủi ro về diện tích.,Rủi ro về chất lượng công trình.,B
Câu 90: Kỹ năng nào giúp nhà môi giới trình bày thông tin phức tạp (ví dụ: quy trình pháp lý) một cách dễ hiểu cho khách hàng?,Kỹ năng đàm phán.,"Kỹ năng sử dụng ngôn ngữ đơn giản, ví dụ minh họa và chia nhỏ thông tin.",Kỹ năng quản lý thời gian.,Kỹ năng định giá bất động sản.,B
"Câu 91: Khi nhận được thông tin phản hồi tiêu cực từ khách hàng sau khi xem nhà, nhà môi giới nên làm gì?",Bỏ qua và không quan tâm.,Tranh cãi với khách hàng để bảo vệ BĐS.,"Lắng nghe cẩn thận, tìm hiểu rõ lý do không hài lòng, cảm ơn phản hồi và sử dụng thông tin đó để tìm BĐS phù hợp hơn hoặc tư vấn lại cho bên bán.",Đổ lỗi cho khách hàng khó tính.,C
Câu 92: Việc nhà môi giới chủ động đề xuất các giải pháp tài chính (ví dụ: giới thiệu ngân hàng cho vay) cho khách hàng mua thể hiện kỹ năng gì?,Kỹ năng định giá.,Kỹ năng đàm phán.,Kỹ năng cung cấp dịch vụ hỗ trợ và gia tăng giá trị.,Kỹ năng quản lý rủi ro.,C
"Câu 93: Trong hợp đồng mua bán bất động sản, tại sao cần mô tả chi tiết bất động sản (địa chỉ, diện tích, số thửa...)?",Để làm tăng giá trị hợp đồng.,"Để xác định chính xác đối tượng của hợp đồng, tránh nhầm lẫn và tranh chấp.",Để cơ quan thuế dễ tính thuế.,Chỉ là thủ tục hình thức.,B
Câu 94: Rủi ro nào có thể phát sinh nếu mua bất động sản thông qua hợp đồng ủy quyền không hợp lệ?,"Giao dịch có thể bị tuyên vô hiệu, người mua mất tiền và không có quyền sở hữu.",Người mua phải trả thêm thuế.,Bất động sản bị giảm giá trị.,Không có rủi ro nào đáng kể.,A
"Câu 95: Khi soạn thảo điều khoản về phí hoa hồng trong Hợp đồng Dịch vụ Môi giới, cần lưu ý điều gì nhất?",Ghi mức phí càng cao càng tốt.,"Ghi mức phí một cách rõ ràng (tỷ lệ % hoặc số tiền cố định) và quy định cụ thể thời điểm, điều kiện thanh toán phí.","Chỉ cần ghi chung chung ""theo thỏa thuận"".",Để trống phần phí hoa hồng.,B
"Câu 96: Đâu là biểu hiện của việc nhà môi giới ""tách biệt con người và vấn đề"" trong đàm phán?",Chỉ trích cá nhân người đối diện khi họ không đồng ý. [CỨNG},"Tập trung vào việc giải quyết các bất đồng về điều khoản, giá cả một cách khách quan, giữ thái độ tôn trọng đối tác.",Luôn đồng ý với mọi yêu cầu của đối tác để tránh xung đột. [MỀM],Từ chối đàm phán nếu không thích người đối diện. [CỨNG],B
"Câu 97: Việc phân tích chỉ số ""Lợi nhuận / Số lao động"" giúp nhà quản lý văn phòng môi giới điều gì?",Xác định quy mô giao dịch trung bình.,"Đánh giá năng suất, hiệu quả làm việc của đội ngũ nhân viên.",Biết được tổng chi phí hoạt động.,Đo lường tỷ suất lợi nhuận trên doanh thu.,B
"Câu 98: Khi phân tích nguồn cung bất động sản, yếu tố ""tốc độ tăng trưởng và suy thoái của từng loại BĐS"" phản ánh điều gì rõ nhất?",Chi phí xây dựng hiện tại.,Chu kỳ của thị trường bất động sản và tâm lý đầu tư.,Chính sách tín dụng của ngân hàng.,Mật độ dân số khu vực.,B
Câu 99: Thông tin nào sau đây về bất động sản thuộc nhóm Pháp lý nhưng thường KHÓ kiểm tra nhất chỉ qua giấy tờ và cần khảo sát thực địa/hỏi thăm?,Tên chủ sở hữu trên Sổ hồng (GCN).,Diện tích đất được công nhận.,Tình trạng tranh chấp lối đi chung hoặc ranh giới với hàng xóm.,Thông tin quy hoạch 1/500 tại cơ quan nhà nước.,C
Câu 100: Một khách hàng Việt Kiều muốn mua nhà tại Việt Nam. Yếu tố pháp lý nào nhà môi giới cần tư vấn ĐẦU TIÊN và quan trọng nhất cho khách hàng này?,Thủ tục xin cấp Sổ hồng (GCN).,"Các loại thuế, phí phải nộp khi mua bán.",Điều kiện và đối tượng người Việt Nam định cư ở nước ngoài được phép sở hữu nhà ở tại Việt Nam theo Luật Nhà ở.,Cách thức vay vốn ngân hàng tại Việt Nam.,C
"Câu 101: Khi thẩm định pháp lý một căn nhà riêng lẻ đã qua sử dụng, ngoài Sổ hồng (GCN), giấy tờ nào cũng rất quan trọng để đánh giá tính hợp pháp của công trình xây dựng?",Hợp đồng mua bán lần đầu với chủ đầu tư (nếu có).,Giấy phép xây dựng (đối với nhà xây sau khi có quy định về cấp phép).,"Hóa đơn tiền điện, nước.",Thông báo nộp thuế đất hàng năm.,B
